,gene_short_name,PC-1,PC-2,PC-3,PC-4,SMC-1,SMC-2,SMC-3,SMC-4
ENSMUSG00000000544,Gpa33,0.062911,0,0,0,0.138614,0.0381881,0,0
ENSMUSG00000000552,Zfp385a,0.524164,0.986959,1.05594,1.01328,0.870676,0.628832,1.22239,1.17388
ENSMUSG00000000555,Itga5,6.06317,2.24918,11.3938,16.1467,12.8192,15.9318,60.8938,67.7903
ENSMUSG00000000560,Gabra2,0,0,0,0,0,0.0352434,0,0
ENSMUSG00000000561,Wdr77,37.2048,25.7101,30.1633,20.2506,25.709,24.9269,15.6027,12.6486
ENSMUSG00000000562,Adora3,0.312763,0.760025,0.131796,0.0804986,0.285657,0.0534145,0.322217,0.195051
ENSMUSG00000000563,Atp5f1,231.966,419.515,221.871,230.482,228.723,214.306,173.788,218.624
ENSMUSG00000000567,Sox9,4.5059,4.31779,10.2698,9.98524,14.8973,12.7284,55.787,20.8887
ENSMUSG00000000568,Hnrnpd,15.53,26.0538,13.4295,7.88526,9.49272,7.56971,4.45845,4.45102
ENSMUSG00000000579,Dynlt1c,14.0667,15.6641,12.9003,13.5489,13.1629,9.23983,8.39362,6.80751
ENSMUSG00000000581,C1d,22.3154,22.8475,14.6027,18.2452,38.6303,45.2876,46.3479,45.1971
ENSMUSG00000000594,Gm2a,128.246,191.389,130.381,221.328,128.551,101.741,92.1384,97.7564
ENSMUSG00000000600,Krit1,18.2192,8.6938,15.5932,12.34,14.3284,21.3814,14.2619,16.2524
ENSMUSG00000000605,Clcn4-2,55.3632,35.8122,42.9562,35.1406,80.3148,76.7808,49.4493,56.7981
ENSMUSG00000000606,Vmn2r88,0.311756,0.189468,0,0.0783026,0.0495118,0,0,0
ENSMUSG00000000617,Grm6,0.0406138,0.0766703,0.00984996,0.0630203,0.026355,0,0,0
ENSMUSG00000000627,Sema4f,1.38961,0.590308,3.4582,5.56668,0.415113,0.804513,0.226757,0.256406
ENSMUSG00000000628,Hk2,12.1346,21.5644,15.9128,14.0468,13.7176,12.3042,36.548,29.2934
ENSMUSG00000000631,Myo18a,3.74237,1.86467,7.88257,13.1892,1.94992,3.944,11.9755,11.8345
ENSMUSG00000000632,Sez6,0.0911985,0,0.0201704,0.0842859,0.355056,0.436775,1.02062,1.2219
ENSMUSG00000000673,Haao,65.7264,63.6275,49.2374,44.2595,2.72994,2.37297,1.79948,1.57349
ENSMUSG00000000682,Cd52,1617.7,4101.03,1852.65,2150.94,190.382,175.28,98.9254,133.473
ENSMUSG00000000686,Abhd15,2.40177,3.72257,1.95109,1.72916,1.3958,0.776263,0.541529,0.471522
ENSMUSG00000000690,Hoxb6,0.129229,0.324753,0.186508,0.208862,0.761943,0.673832,1.78636,1.68223
ENSMUSG00000000693,Loxl3,2.44837,1.333,3.57284,1.53842,9.75324,11.2035,16.3929,22.9362
ENSMUSG00000000701,Tcl1b5,0.0530953,0,0,0,0,0,0,0
ENSMUSG00000000702,AC007307.1,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0.0390977,0.0291462,0,0,0.114161,0.0594513,0,0
ENSMUSG00000000708,Kat2b,5.97032,4.97189,4.2784,5.93735,6.20831,9.53798,7.64991,3.95298
ENSMUSG00000000711,Rab5b,16.6975,14.7519,18.611,21.8948,32.868,30.1875,38.2721,40.0937
ENSMUSG00000000724,Cryba1,0.258851,0.165157,0,0.068292,0.397325,0.0670723,0.0704747,0
ENSMUSG00000000730,Dnmt3l,0.544599,1.39045,0.0931847,0.573889,1.4689,0.499396,0.987994,0.641242
ENSMUSG00000000731,Aire,0.729756,0.547168,1.0175,0.481448,0.0148344,0.0138932,0.0391526,0.0376478
ENSMUSG00000000732,Icosl,10.4192,6.47793,21.4681,19.8641,4.37668,3.29791,7.47026,11.0086
ENSMUSG00000000738,Spg7,5.79187,8.79462,14.1572,17.9831,14.4996,8.09085,10.7959,5.53416
ENSMUSG00000000739,Sult5a1,2.65055,3.11359,3.95241,2.49036,38.4969,20.9649,31.4053,22.2762
ENSMUSG00000000740,Rpl13,3813.74,9029.2,3603.81,4500.37,2349.37,1746.15,1343.22,1469.83
ENSMUSG00000000743,Chmp1a,96.4646,90.2971,79.2495,80.2228,87.1364,73.0762,78.2436,76.5088
ENSMUSG00000000751,Rpa1,103.388,55.7903,88.9171,93.8899,31.8827,38.529,45.2016,50.7658
ENSMUSG00000000753,Serpinf1,701.945,499.637,132.061,136.685,5726.75,3745.12,2796.76,2197.49
ENSMUSG00000000759,Tubgcp3,19.7569,13.6988,16.9374,14.0841,12.6117,15.3324,15.6418,16.7565
ENSMUSG00000000766,Oprm1,0.468211,0.663084,0.491496,0.149002,0.299969,0.29292,0.05489,0
ENSMUSG00000000776,Polr3d,8.83253,7.6026,8.96921,8.58615,6.99106,6.29619,8.9415,10.8739
ENSMUSG00000000782,Tcf7,69.785,78.1237,82.3345,72.4853,1.36291,0.985792,0.855734,1.28083
ENSMUSG00000000787,Ddx3x,91.7832,105.216,72.9514,61.5038,137.374,148.409,63.4177,59.7192
ENSMUSG00000000791,Il12rb1,2.68914,2.46983,2.99388,4.45445,0.0921862,0.0606689,0.143163,0.121874
ENSMUSG00000000792,Slc5a5,0.540879,0.345556,0.0297678,0.0856862,1.67016,0.619987,0.812666,0.452741
ENSMUSG00000000794,Kcnn3,0.895651,0.245947,0.151336,0.85672,1.60647,1.81944,0.751161,1.35226
ENSMUSG00000000804,Usp32,3.02104,0.940167,1.877,1.26384,1.88233,1.77283,1.93931,1.2479
ENSMUSG00000000805,Car4,7.52061,8.48808,3.88442,13.8746,34.3395,46.9888,83.4759,84.9201
ENSMUSG00000000811,Txnrd3,2.60906,4.06219,5.85796,6.70053,5.17451,4.96145,8.35534,7.89861
ENSMUSG00000000817,Fasl,39.5028,37.3964,60.4438,35.4469,0.455796,0.576263,0.72824,0.608279
ENSMUSG00000000823,Znf512b,4.49484,3.54193,2.62959,6.04056,2.24435,3.47227,2.82399,2.44487
ENSMUSG00000000826,Dnajc5,36.2881,26.0922,47.3233,46.6434,15.5385,13.778,21.4118,30.871
ENSMUSG00000000827,Tpd52l2,53.3576,90.577,52.9431,57.0973,94.4503,77.6597,70.4082,70.3203
ENSMUSG00000000838,Fmr1,10.9187,8.71957,8.43617,6.97816,9.92595,13.2834,6.13236,6.07912
ENSMUSG00000000861,Bcl11a,9.68174,8.21203,8.14327,6.01723,0.592249,0.345663,0.898859,0.379676
ENSMUSG00000000869,Il4,3.04943,3.38096,6.18481,1.35737,0,0,0,0.406601
ENSMUSG00000000876,Pxmp4,12.5008,30.7109,9.99397,8.35835,23.5091,18.7003,20.1345,19.6766
ENSMUSG00000000881,Dlg3,2.49963,0.331836,2.37766,2.04483,2.34118,3.60768,6.12717,4.16098
ENSMUSG00000000884,Gnb1l,8.57693,14.2566,5.16136,3.6631,5.42197,5.1658,3.31981,2.98159
ENSMUSG00000000889,Dbh,0.287883,0.422381,0,0.0831318,0.245353,0.114767,0,0.032946
ENSMUSG00000000901,Mmp11,2.0176,2.37216,3.55275,3.15711,5.70888,3.98182,8.28953,11.4723
ENSMUSG00000000902,Smarcb1,37.899,39.4167,31.7779,33.4258,27.3473,24.0419,44.1624,43.1441
ENSMUSG00000000903,Vpreb3,100.762,240.268,30.5262,40.7807,9.89815,8.51157,0.643304,1.04296
ENSMUSG00000000915,Hip1r,12.8266,4.34962,18.3542,15.3548,1.11693,2.55133,9.99218,8.2077
ENSMUSG00000000916,Nsun5,13.1627,11.7424,9.59948,10.2935,5.1006,4.81313,7.14994,7.15451
ENSMUSG00000000934,Top1mt,6.07784,5.5284,4.81084,4.89544,4.67732,4.18054,2.25383,3.1733
ENSMUSG00000000938,Hoxa10,2.28303,3.47651,0.83539,1.85554,17.7726,14.4007,14.9017,10.1932
ENSMUSG00000000942,Hoxa4,0.0309477,0.172841,0.0297802,0.200083,0.151012,0.337309,0.265664,0.396711
ENSMUSG00000000948,Snrpn,2.91961,5.04205,3.48409,4.23529,9.80938,7.31035,12.8788,14.5144
ENSMUSG00000000957,Mmp14,4.72906,9.66571,10.6206,16.974,56.5776,43.4012,75.3564,46.3333
ENSMUSG00000000958,Slc7a7,3.26293,5.08632,2.64928,4.38013,12.3802,9.82904,9.23154,11.3357
ENSMUSG00000000959,Oxa1l,12.459,16.0762,9.32572,8.68042,11.5173,8.49366,6.70766,5.47919
ENSMUSG00000000976,Heatr6,8.60813,3.7154,9.1413,6.70779,2.7877,3.78572,6.20247,6.74844
ENSMUSG00000000982,Ccl3,50.147,80.9298,59.5831,19.7913,74.2955,57.3938,31.2467,27.4697
ENSMUSG00000000983,Expi,4.30157,4.76467,0,2.4888,20.6792,3.49575,2.53527,1.60417
ENSMUSG00000001014,Icam4,0.639862,2.42512,0.553037,0.708321,1.8199,1.32575,1.21433,1.05483
ENSMUSG00000001016,Ilf2,70.0199,84.8648,49.9903,49.4215,60.4199,66.9056,36.8441,38.9019
ENSMUSG00000001017,2500003M10Rik,37.0996,26.0039,37.077,40.6309,34.0234,42.4193,31.3757,35.73
ENSMUSG00000001018,Snapin,53.0277,70.1935,43.1352,45.6275,149.6,133.752,96.7555,104.565
ENSMUSG00000001020,S100a4,68.0724,259.158,85.8629,121.486,138.675,128.276,126.764,77.7709
ENSMUSG00000001021,S100a3,2.01964,3.06479,0.352062,0.338402,4.43018,3.44962,3.55616,4.54098
ENSMUSG00000001023,S100a5,3.02736,7.77243,3.8894,3.95252,15.1775,21.9349,31.1051,21.2347
ENSMUSG00000001025,S100a6,286.181,753.891,320.249,363.545,1546.72,1176.53,1109.8,974.309
ENSMUSG00000001027,Scn4a,0.34452,0.0872598,0.20045,0.498752,0.00632063,0.0653438,0.0622395,0
ENSMUSG00000001029,Icam2,61.8449,103.1,32.0427,51.7356,78.4983,100.183,122.895,172.033
ENSMUSG00000001034,Mapk7,8.7605,5.35396,10.308,12.6371,5.66825,5.77783,8.92795,7.35356
ENSMUSG00000001036,Epn2,5.99883,1.85675,5.18117,10.935,9.63345,11.8657,25.5134,36.3245
ENSMUSG00000001039,B9d1,4.81516,15.39,3.90134,4.92247,47.4566,29.3136,22.0414,22.0102
ENSMUSG00000001052,Sec24b,6.7731,4.36228,16.3524,18.621,5.32977,4.6351,8.64168,6.97535
ENSMUSG00000001053,N4bp3,15.9447,10.9449,13.4757,13.7642,4.73969,8.82294,38.0814,28.7412
ENSMUSG00000001054,Rmnd5b,49.8735,47.0343,31.8849,30.053,33.4026,28.5795,20.5683,18.8708
ENSMUSG00000001056,Nhp2,114.809,276.339,90.0882,103.699,83.1552,68.6495,53.0517,55.3913
ENSMUSG00000001062,1300018I17Rik,2.77447,2.53227,2.92467,4.97668,3.97572,3.71666,7.98915,5.48053
ENSMUSG00000001065,Zfp276,8.944,4.47173,10.5043,9.12928,4.6,5.36164,5.56868,7.38387
ENSMUSG00000001076,C1ql4,0,0.150333,0,0.0622094,0,0.242819,0.0639637,0
ENSMUSG00000001082,Mfsd10,45.6637,66.4493,49.2726,41.0045,44.3512,30.6014,36.8998,41.1352
ENSMUSG00000001089,Luzp1,8.42847,11.1687,11.181,5.50546,9.77487,10.8654,18.6811,33.2719
ENSMUSG00000001095,Slc13a2,0,0.0856899,0.0369088,0,0,0.0174584,0,0
ENSMUSG00000001098,Kctd10,122.032,65.9574,174.26,169.002,91.0343,105.137,203.667,259.768
ENSMUSG00000001100,Poldip2,40.7211,36.3152,31.5914,33.4123,43.2615,38.1121,41.4986,38.1428
ENSMUSG00000001103,Sebox,0,0.177386,0.109455,0,0.34937,0.0359931,0,0.0363657
ENSMUSG00000001105,Ift20,66.5925,131.451,57.3411,66.3427,134.093,111.137,90.6434,85.334
ENSMUSG00000001119,Col6a1,46.5483,23.3223,30.5858,43.946,173.307,166.475,409.355,408.679
ENSMUSG00000001120,Pcbp3,5.67323,4.08755,6.27856,6.22824,3.55511,4.03817,10.2691,9.0135
ENSMUSG00000001123,Lgals9,287.814,409.32,170.917,154.367,235.968,204.877,179.272,194.365
ENSMUSG00000001127,Araf,69.2258,43.5612,83.909,58.8271,57.703,58.7785,71.5593,68.698
ENSMUSG00000001128,Cfp,68.9893,105.216,55.4678,94.1071,57.5134,50.6228,76.4257,98.7907
ENSMUSG00000001131,Timp1,26.5328,59.6167,3.49106,4.58271,346.412,283.646,108.886,111.655
ENSMUSG00000001134,Uxt,39.8586,80.3505,41.1636,34.7965,33.3292,36.9348,25.2701,29.7734
ENSMUSG00000001138,Cnnm3,0.9361,1.05577,0.575148,0.362897,0.958674,0.71721,1.13806,0.489409
ENSMUSG00000001143,Lman2l,8.01516,6.59681,6.41429,10.2243,8.50994,7.82755,10.3704,10.1338
ENSMUSG00000001150,Mcm3ap,5.10739,1.59291,8.90506,7.26692,1.15828,1.92485,4.9247,5.61378
ENSMUSG00000001151,Pcnt,1.83812,0.728982,3.92263,3.61977,0.578971,0.723534,2.15006,3.2214
ENSMUSG00000001155,Ftcd,0.0246634,0.052107,0,0,0.136135,0.198307,0,0.0142229
ENSMUSG00000001156,Mxd1,34.029,21.9146,73.1761,52.2557,8.57835,9.95083,13.2151,13.1296
ENSMUSG00000001157,Gmcl1,3.00468,6.81352,16.3323,12.7806,9.43754,8.42629,5.33382,4.19098
ENSMUSG00000001158,Snrnp27,40.4552,88.5579,36.6976,40.8215,86.646,80.2792,65.9043,77.7262
ENSMUSG00000001166,Oas1c,3.26184,2.43724,2.69886,3.53878,0.929147,0.595813,2.07615,1.02266
ENSMUSG00000001168,Oas1h,0,0,0,0,0,0.0356949,0,0
ENSMUSG00000001173,Ocrl,5.68159,3.90682,2.29448,2.74197,6.86548,6.37142,5.12815,5.43775
ENSMUSG00000001175,Calm1,967.923,2434.03,1098.47,1204.62,890.25,947.301,915.716,1078.12
ENSMUSG00000001211,Agpat3,37.6157,48.1196,40.3535,39.0883,10.8077,7.92931,10.3127,11.7571
ENSMUSG00000001225,Slc26a3,0.102996,0.185957,0.0389254,0,0,0.10727,0,0
ENSMUSG00000001227,Sema6b,0.0830013,0.0132566,0.376365,0.647831,0.693236,0.627876,3.6278,3.08223
ENSMUSG00000001228,Uhrf1,20.1908,9.97331,15.1977,8.65042,1.48432,2.48662,1.27524,1.25355
ENSMUSG00000001229,Dpp9,12.8252,6.29913,14.5899,17.3154,4.96383,4.80375,11.2743,12.3795
ENSMUSG00000001240,Ramp2,25.2338,46.73,16.0205,23.2107,217.154,159.514,157.632,149.945
ENSMUSG00000001247,Lsr,3.40743,4.15722,12.1022,13.2802,4.56849,4.57907,29.0018,12.8552
ENSMUSG00000001248,Gramd1a,83.9201,46.3045,108.867,84.4252,26.7228,29.0767,69.9934,64.1687
ENSMUSG00000001249,Hpn,1.20563,0.236768,1.21352,0.18176,0.352901,1.35857,3.73594,0.410473
ENSMUSG00000001260,Gabrg1,0.0365405,0,0.105619,0.00844386,0.0511674,0.0166851,0.0524582,0
ENSMUSG00000001270,Ckb,148.159,201.392,122.12,237.642,446.969,318.755,461.663,580.453
ENSMUSG00000001280,Sp1,6.10707,5.36412,6.3095,5.03466,4.57479,5.60292,4.62619,6.64918
ENSMUSG00000001281,Itgb7,156.886,98.9692,268.953,271.445,4.342,3.28506,7.73971,13.2684
ENSMUSG00000001285,Myg1,43.2167,62.7041,20.4258,26.1461,44.0245,35.1409,23.4937,27.818
ENSMUSG00000001288,Rarg,2.9099,2.18148,2.34305,3.37446,6.23046,5.24149,15.6426,9.73847
ENSMUSG00000001289,Pfdn5,235.511,479.949,249.961,302.668,277.649,232.314,217.805,235.944
ENSMUSG00000001300,Efnb2,1.12877,1.08878,0.889066,0.881067,1.64426,2.56859,3.01287,2.2972
ENSMUSG00000001305,Rrp15,33.3838,52.1679,23.3876,26.3935,22.1797,24.0003,15.1107,15.1979
ENSMUSG00000001313,Rnd2,2.00324,2.39639,2.56052,9.54443,6.10628,6.10157,7.39563,14.0094
ENSMUSG00000001323,Srr,9.99477,7.89344,6.94718,8.25032,14.0679,13.9047,11.9723,15.381
ENSMUSG00000001333,Sync,0.472278,0.520744,0.204182,2.0338,1.80686,1.81016,3.04632,3.50711
ENSMUSG00000001334,Fndc5,0.461267,0.865609,0.142789,0.0456696,1.12295,0.570644,0.582698,0.196069
ENSMUSG00000001348,Acp5,129.957,142.603,95.1907,83.9438,22.5141,18.9822,37.1957,30.395
ENSMUSG00000001349,Cnn1,11.5243,26.9655,5.52005,23.5562,22.9315,25.8592,56.9462,98.5597
ENSMUSG00000001366,Fbxo9,22.561,30.4672,36.4313,32.0438,25.6652,31.7751,23.8178,27.2317
ENSMUSG00000001376,Ccdc132,13.9381,9.75815,10.1009,11.6163,9.05019,13.454,11.1655,13.2304
ENSMUSG00000001379,Apbb3,6.82643,2.99517,3.57259,3.89408,4.91232,5.42048,4.59415,5.13848
ENSMUSG00000001380,Hars,46.2291,41.6477,34.9577,34.5637,36.9626,39.954,23.1549,25.5051
ENSMUSG00000001383,Zmat2,22.6175,28.4189,21.0807,20.4774,18.0737,18.4515,16.1613,18.8921
ENSMUSG00000001403,Ube2c,43.851,120.415,25.4142,24.7988,11.1844,13.4748,2.77927,1.66165
ENSMUSG00000001415,Smg5,9.40953,6.58289,16.0355,17.0762,3.30345,3.48699,7.394,10.8399
ENSMUSG00000001416,Cct3,263.808,347.397,207.04,175.644,187.88,175.035,115.998,121.961
ENSMUSG00000001417,Rhbg,0,0,0.0710539,0,0.167951,0.179068,0.934276,0
ENSMUSG00000001418,0610031J06Rik,154.113,228.361,137.455,132.844,280.934,228.177,296.63,244.515
ENSMUSG00000001419,Mef2d,15.8142,17.0387,18.7124,17.7702,5.52679,5.15106,7.11801,8.3689
